# Organism: H. sapiens
# Application version: 3.6.0
# Database version: 13 August 2021 00:00:00
# Network generated on: 13 August 2022
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
CAP2	ABL2	0.31458345	Physical Interactions	IREF-reactome
GNB3	GNG4	0.030262155	Physical Interactions	Vastrik-Stein-2007
APP	GRPR	0.0038696192	Physical Interactions	Vastrik-Stein-2007
FAH	GSTZ1	0.72163004	Physical Interactions	Vastrik-Stein-2007
DDC	TH	0.49946225	Physical Interactions	Vastrik-Stein-2007
HNF1A	HNF4A	0.44575083	Physical Interactions	Vastrik-Stein-2007
PGAP1	PLAUR	0.10708624	Physical Interactions	Vastrik-Stein-2007
HGD	GSTZ1	0.4068338	Physical Interactions	Vastrik-Stein-2007
PLAU	PLAUR	0.11895849	Physical Interactions	Vastrik-Stein-2007
GNGT2	GNB3	0.038192883	Physical Interactions	Vastrik-Stein-2007
CAP2	ABL2	0.31458345	Physical Interactions	Vastrik-Stein-2007
NR0B2	HNF4A	0.8164966	Physical Interactions	IREF-bhf-ucl
EPHB2	ABL2	1	Physical Interactions	IREF-hpidb
MYH10	DBN1	0.0023043675	Physical Interactions	Hein-Mann-2015
DDC	TH	0.6628695	Physical Interactions	IREF-quickgo
MID1	MID2	1	Physical Interactions	IREF-quickgo
PLAU	PLAUR	0.7962252	Physical Interactions	IREF-intcomplex
HCK	PLAUR	0.3635308	Physical Interactions	IREF-dip
RIN1	ABL2	0.50503486	Physical Interactions	IREF-dip
NONO	PSPC1	0.73810303	Physical Interactions	IREF-dip
APP	MRPL1	0.023224434	Physical Interactions	Oláh-Ovádi-2011
APP	LYPLA2	0.023224434	Physical Interactions	Oláh-Ovádi-2011
HCK	APP	0.023224434	Physical Interactions	Oláh-Ovádi-2011
NONO	PSPC1	0.6125741	Physical Interactions	IREF-uniprotpp
GNB3	GNG4	0.09632702	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
EPHB2	ABL2	0.07622182	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAU	PLAUR	0.08067826	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
MID1	MID2	0.0377583	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
NR0B2	HNF4A	0.017470168	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
RIN1	ABL2	0.09947599	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
GNGT2	GNB3	0.111954845	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAUR	ARSA	0.027205752	Physical Interactions	Huttlin-Harper-2017
RIN1	ABL2	0.13612492	Physical Interactions	Huttlin-Harper-2017
XAB2	YJU2	0.0431267	Physical Interactions	Huttlin-Harper-2017
NONO	PSPC1	0.17099161	Physical Interactions	Huttlin-Harper-2017
PLAU	PLAUR	0.70710677	Physical Interactions	IREF-corum
NR0B2	HNF4A	0.13040623	Physical Interactions	IREF-bind-translation
RIN1	ABL2	0.54467463	Physical Interactions	IREF-bind-translation
PLAUR	ARSA	0.018711777	Physical Interactions	Huttlin-Gygi-2015
XAB2	YJU2	0.072445616	Physical Interactions	Huttlin-Gygi-2015
PLAU	PLAUR	0.5411961	Physical Interactions	Rual-Vidal-2005
PLAU	PLAUR	0.12397115	Physical Interactions	IREF-matrixdb
MID1	MID2	0.687017	Physical Interactions	Lim-Zoghbi-2006
HNF1A	HNF4A	0.02560388	Physical Interactions	IREF-spike
EPHB2	ABL2	0.08712049	Physical Interactions	IREF-spike
PLAU	PLAUR	0.30836478	Physical Interactions	IREF-spike
MID1	MID2	0.3926559	Physical Interactions	IREF-spike
DBN1	ABL2	0.13730134	Physical Interactions	IREF-spike
MYH10	ABL2	0.06749715	Physical Interactions	IREF-spike
HCK	ABL2	0.050427515	Physical Interactions	IREF-spike
NR0B2	HNF4A	0.024701813	Physical Interactions	IREF-spike
RIN1	ABL2	0.09158167	Physical Interactions	IREF-spike
NONO	PSPC1	0.33134627	Physical Interactions	IREF-spike
HCK	ABL2	0.3319599	Physical Interactions	Wang-Yang-2011
MID1	MID2	0.008916815	Physical Interactions	IREF-huri
HCK	MID2	0.008843005	Physical Interactions	IREF-huri
NONO	PSPC1	0.5049407	Physical Interactions	IREF-huri
NR0B2	HNF4A	0.14317325	Physical Interactions	Albers-Koegl-2005
MID1	MID2	0.366445	Physical Interactions	Sahni-Vidal-2015
APP	MRPL1	0.00081355014	Physical Interactions	IREF-biogrid
APP	LYPLA2	0.0021731346	Physical Interactions	IREF-biogrid
HCK	APP	0.0010915908	Physical Interactions	IREF-biogrid
XAB2	YJU2	0.031222807	Physical Interactions	IREF-biogrid
NONO	PSPC1	0.01318108	Physical Interactions	IREF-biogrid
XAB2	YJU2	0.70710677	Predicted	I2D-Li-Vidal-2004-interolog-Worm2Human
ATP8A2	ATP8A1	0.20639178	Predicted	Wu-Stein-2010
EPHB2	ABL2	0.02534061	Predicted	Wu-Stein-2010
MID1	MID2	0.70710677	Predicted	Wu-Stein-2010
HCK	ABL2	0.033923678	Predicted	Wu-Stein-2010
HCK	PLAUR	0.07525445	Predicted	Wu-Stein-2010
NR0B2	HNF4A	0.03142461	Predicted	Wu-Stein-2010
RIN1	ABL2	0.07843272	Predicted	Wu-Stein-2010
CAP2	ABL2	0.18004218	Predicted	Wu-Stein-2010
NONO	PSPC1	0.22152773	Predicted	Wu-Stein-2010
FAH	GSTZ1	0.9096495	Predicted	Stuart-Kim-2003
CCDC130	YJU2	0.06515864	Predicted	Stuart-Kim-2003
DDC	TH	0.5151403	Predicted	I2D-BioGRID-Fly2Human
RNF181	MEX3B	0.004956136	Shared protein domains	INTERPRO
ATP8A2	ATP8A1	0.035070747	Shared protein domains	INTERPRO
CCDC130	YJU2	1	Shared protein domains	INTERPRO
LCA5L	LCA5	1	Shared protein domains	INTERPRO
FUT1	FUT2	1	Shared protein domains	INTERPRO
PGAP1	LYPLA2	0.008149013	Shared protein domains	INTERPRO
MID1	MID2	0.023243424	Shared protein domains	INTERPRO
HCK	ABL2	0.017585367	Shared protein domains	INTERPRO
HCK	EPHB2	0.008313305	Shared protein domains	INTERPRO
NR0B2	HNF4A	0.019651616	Shared protein domains	INTERPRO
GNGT2	GNG4	0.072009504	Shared protein domains	INTERPRO
NONO	PSPC1	0.054196868	Shared protein domains	INTERPRO
ATP8A2	ATP8A1	0.07692308	Shared protein domains	PFAM
CCDC130	YJU2	1	Shared protein domains	PFAM
LCA5L	LCA5	1	Shared protein domains	PFAM
FUT1	FUT2	1	Shared protein domains	PFAM
MID1	MID2	0.032560267	Shared protein domains	PFAM
HCK	ABL2	0.019762618	Shared protein domains	PFAM
NR0B2	HNF4A	0.01781352	Shared protein domains	PFAM
GNGT2	GNG4	0.07384608	Shared protein domains	PFAM
NONO	PSPC1	0.049576327	Shared protein domains	PFAM
